premise_1,premise_2,inferred,support_count
person InheritsFrom apple,apple AtLocation winery,person AtLocation winery,1
person InheritsFrom apple,apple AtLocation bed,person AtLocation bed,1
person InheritsFrom apple,apple AtLocation store,person AtLocation store,1
person InheritsFrom apple,apple AtLocation restaurant,person AtLocation restaurant,1
person InheritsFrom apple,apple AtLocation plate,person AtLocation plate,1
person InheritsFrom apple,apple AtLocation freezer,person AtLocation freezer,1
person InheritsFrom apple,apple AtLocation jar,person AtLocation jar,1
person InheritsFrom apple,apple AtLocation cake,person AtLocation cake,1
person InheritsFrom apple,apple AtLocation park,person AtLocation park,1
person InheritsFrom apple,apple AtLocation supermarket,person AtLocation supermarket,1
person InheritsFrom apple,apple AtLocation pocket,person AtLocation pocket,1
person InheritsFrom apple,apple AtLocation garden,person AtLocation garden,1
person InheritsFrom apple,apple AtLocation drawer,person AtLocation drawer,1
person InheritsFrom apple,apple AtLocation closet,person AtLocation closet,1
person InheritsFrom apple,apple AtLocation suitcase,person AtLocation suitcase,1
person InheritsFrom apple,apple AtLocation casino,person AtLocation casino,1
person InheritsFrom apple,apple AtLocation ground,person AtLocation ground,1
person InheritsFrom apple,apple AtLocation desk,person AtLocation desk,1
person InheritsFrom apple,apple AtLocation build,person AtLocation build,1
person InheritsFrom apple,apple AtLocation under tree,person AtLocation under tree,1
person InheritsFrom apple,apple AtLocation hang tree,person AtLocation hang tree,1
person InheritsFrom apple,apple AtLocation pizza,person AtLocation pizza,1
person InheritsFrom apple,apple AtLocation ipod,person AtLocation ipod,1
person InheritsFrom apple,apple AtLocation tree orchard,person AtLocation tree orchard,1
person InheritsFrom apple,apple AtLocation container,person AtLocation container,1
person InheritsFrom apple,apple AtLocation refridgerator,person AtLocation refridgerator,1
person InheritsFrom apple,apple AtLocation farmer market,person AtLocation farmer market,1
person InheritsFrom apple,apple AtLocation shop,person AtLocation shop,1
person InheritsFrom doll,doll AtLocation girl bedroom,person AtLocation girl bedroom,1
person InheritsFrom doll,doll AtLocation dollshouse,person AtLocation dollshouse,1
person InheritsFrom doll,doll AtLocation child arm,person AtLocation child arm,1
person InheritsFrom doll,doll AtLocation girl room,person AtLocation girl room,1
person InheritsFrom doll,doll AtLocation museum,person AtLocation museum,1
person InheritsFrom doll,doll AtLocation closet,person AtLocation closet,1
person InheritsFrom doll,doll AtLocation doll house,person AtLocation doll house,1
person InheritsFrom doll,doll AtLocation desk,person AtLocation desk,1
person InheritsFrom doll,doll AtLocation school,person AtLocation school,1
person InheritsFrom doll,doll AtLocation home,person AtLocation home,1
person InheritsFrom doll,doll AtLocation apartment,person AtLocation apartment,1
person InheritsFrom doll,doll AtLocation park,person AtLocation park,1
person InheritsFrom doll,doll AtLocation church,person AtLocation church,1
person InheritsFrom doll,doll AtLocation fraternity house,person AtLocation fraternity house,1
person InheritsFrom doll,doll AtLocation subway,person AtLocation subway,1
person InheritsFrom doll,doll AtLocation office,person AtLocation office,1
person InheritsFrom doll,doll AtLocation library,person AtLocation library,1
person InheritsFrom doll,doll AtLocation den,person AtLocation den,1
person InheritsFrom doll,doll AtLocation child bedroom,person AtLocation child bedroom,1
person InheritsFrom doll,doll AtLocation dollhouse,person AtLocation dollhouse,1
person InheritsFrom doll,doll AtLocation toy store,person AtLocation toy store,1
person InheritsFrom doll,doll AtLocation small house,person AtLocation small house,1
person InheritsFrom doll,doll AtLocation stroller,person AtLocation stroller,1
person InheritsFrom doll,doll AtLocation kid bedroom,person AtLocation kid bedroom,1
person InheritsFrom doll,doll AtLocation kindergarten,person AtLocation kindergarten,1
person InheritsFrom doll,doll AtLocation miniature house,person AtLocation miniature house,1
person InheritsFrom doll,doll AtLocation pram,person AtLocation pram,1
person InheritsFrom doll,doll AtLocation toy basket,person AtLocation toy basket,1
person InheritsFrom doll,doll AtLocation toy house,person AtLocation toy house,1
person InheritsFrom master control,master control AtLocation main office,person AtLocation main office,1
person InheritsFrom master control,master control AtLocation center,person AtLocation center,1
person InheritsFrom master control,master control AtLocation manufacture plant,person AtLocation manufacture plant,1
person InheritsFrom master control,master control AtLocation basement,person AtLocation basement,1
person InheritsFrom master control,master control AtLocation electricity breaker switch panel,person AtLocation electricity breaker switch panel,1
person InheritsFrom master control,master control AtLocation helm ship,person AtLocation helm ship,1
person InheritsFrom master control,master control AtLocation big factory,person AtLocation big factory,1
person InheritsFrom master control,master control AtLocation nuclear power plant,person AtLocation nuclear power plant,1
person InheritsFrom master control,master control AtLocation lock cabinet,person AtLocation lock cabinet,1
person InheritsFrom master control,master control AtLocation city,person AtLocation city,1
person InheritsFrom master control,master control AtLocation subway,person AtLocation subway,1
person InheritsFrom master control,master control AtLocation home,person AtLocation home,1
person InheritsFrom master control,master control AtLocation build,person AtLocation build,1
person InheritsFrom master control,master control AtLocation room,person AtLocation room,1
person InheritsFrom master control,master control AtLocation restaurant,person AtLocation restaurant,1
person InheritsFrom master control,master control AtLocation love,person AtLocation love,1
person InheritsFrom master control,master control AtLocation apartment,person AtLocation apartment,1
person InheritsFrom master control,master control AtLocation mall,person AtLocation mall,1
person InheritsFrom master control,master control AtLocation bed,person AtLocation bed,1
person InheritsFrom food store,food store AtLocation colorado,person AtLocation colorado,1
person InheritsFrom food store,food store AtLocation shop center,person AtLocation shop center,1
person InheritsFrom food store,food store AtLocation michigan,person AtLocation michigan,1
person InheritsFrom food store,food store AtLocation saginaw michigan,person AtLocation saginaw michigan,1
person InheritsFrom food store,food store AtLocation plaza,person AtLocation plaza,1
person InheritsFrom food store,food store AtLocation mall,person AtLocation mall,1
person InheritsFrom food store,food store AtLocation large city,person AtLocation large city,1
person InheritsFrom food store,food store AtLocation new york,person AtLocation new york,1
person InheritsFrom food store,food store AtLocation city,person AtLocation city,1
person InheritsFrom food store,food store AtLocation town,person AtLocation town,1
person InheritsFrom food store,food store AtLocation neighborhood,person AtLocation neighborhood,1
cat InheritsFrom rabbit,rabbit AtLocation rabbit hutch,cat AtLocation rabbit hutch,1
cat InheritsFrom rabbit,rabbit AtLocation meadow,cat AtLocation meadow,1
cat InheritsFrom rabbit,rabbit AtLocation medow,cat AtLocation medow,1
cat InheritsFrom rabbit,rabbit AtLocation mcgregor garden,cat AtLocation mcgregor garden,1
cat InheritsFrom rabbit,rabbit AtLocation comic,cat AtLocation comic,1
cat InheritsFrom rabbit,rabbit AtLocation warren,cat AtLocation warren,1
cat InheritsFrom rabbit,rabbit AtLocation mountain,cat AtLocation mountain,1
cat InheritsFrom rabbit,rabbit AtLocation bug bunny,cat AtLocation bug bunny,1
cat InheritsFrom rabbit,rabbit AtLocation magician hat,cat AtLocation magician hat,1
cat InheritsFrom rabbit,rabbit AtLocation field,cat AtLocation field,1
car InheritsFrom motorcycle,motorcycle AtLocation garage,car AtLocation garage,1
car InheritsFrom motorcycle,motorcycle AtLocation street,car AtLocation street,1
car InheritsFrom motorcycle,motorcycle AtLocation car,car AtLocation car,1
car InheritsFrom motorcycle,motorcycle AtLocation street corner,car AtLocation street corner,1
car InheritsFrom motorcycle,motorcycle AtLocation hardware store,car AtLocation hardware store,1
car InheritsFrom train,train AtLocation zoo,car AtLocation zoo,1
car InheritsFrom train,train AtLocation india,car AtLocation india,1
car InheritsFrom train,train AtLocation new mexico,car AtLocation new mexico,1
car InheritsFrom train,train AtLocation city,car AtLocation city,1
car InheritsFrom train,train AtLocation garage,car AtLocation garage,1
car InheritsFrom train,train AtLocation street,car AtLocation street,1
car InheritsFrom train,train AtLocation station,car AtLocation station,1
car InheritsFrom train,train AtLocation railyard,car AtLocation railyard,1
car InheritsFrom train,train AtLocation ferry,car AtLocation ferry,1
car InheritsFrom train,train AtLocation subway,car AtLocation subway,1
car InheritsFrom train,train AtLocation train station,car AtLocation train station,1
car InheritsFrom bicycle,bicycle AtLocation garage,car AtLocation garage,1
car InheritsFrom bicycle,bicycle AtLocation university,car AtLocation university,1
car InheritsFrom bicycle,bicycle AtLocation schoolyard,car AtLocation schoolyard,1
car InheritsFrom bicycle,bicycle AtLocation bicycle shop,car AtLocation bicycle shop,1
car InheritsFrom bicycle,bicycle AtLocation shed,car AtLocation shed,1
car InheritsFrom bicycle,bicycle AtLocation street,car AtLocation street,1
car InheritsFrom bicycle,bicycle AtLocation store,car AtLocation store,1
car InheritsFrom bicycle,bicycle AtLocation toy store,car AtLocation toy store,1
car InheritsFrom bicycle,bicycle AtLocation lab,car AtLocation lab,1
car InheritsFrom bicycle,bicycle AtLocation triatholon,car AtLocation triatholon,1
car InheritsFrom bicycle,bicycle AtLocation park,car AtLocation park,1
car InheritsFrom bicycle,bicycle AtLocation netherland,car AtLocation netherland,1
car InheritsFrom bicycle,bicycle AtLocation india,car AtLocation india,1
car InheritsFrom bicycle,bicycle AtLocation oklahoma,car AtLocation oklahoma,1
car InheritsFrom bicycle,bicycle AtLocation city,car AtLocation city,1
car InheritsFrom bicycle,bicycle AtLocation town,car AtLocation town,1
car InheritsFrom bicycle,bicycle AtLocation race track,car AtLocation race track,1
car InheritsFrom bicycle,bicycle AtLocation repair shop,car AtLocation repair shop,1
car InheritsFrom bicycle,bicycle AtLocation street corner,car AtLocation street corner,1
car InheritsFrom bicycle,bicycle AtLocation corner two street,car AtLocation corner two street,1
car InheritsFrom bicycle,bicycle AtLocation park lot,car AtLocation park lot,1
car InheritsFrom bicycle,bicycle AtLocation boat,car AtLocation boat,1
car InheritsFrom bicycle,bicycle AtLocation car show,car AtLocation car show,1
car InheritsFrom bicycle,bicycle AtLocation freeway,car AtLocation freeway,1
car InheritsFrom bicycle,bicycle AtLocation shop,car AtLocation shop,1
car InheritsFrom bicycle,bicycle AtLocation airport,car AtLocation airport,1
car InheritsFrom bicycle,bicycle AtLocation subway,car AtLocation subway,1
car InheritsFrom bicycle,bicycle AtLocation hardware store,car AtLocation hardware store,1
computer InheritsFrom doll,doll AtLocation girl bedroom,computer AtLocation girl bedroom,1
computer InheritsFrom doll,doll AtLocation dollshouse,computer AtLocation dollshouse,1
computer InheritsFrom doll,doll AtLocation child arm,computer AtLocation child arm,1
computer InheritsFrom doll,doll AtLocation girl room,computer AtLocation girl room,1
computer InheritsFrom doll,doll AtLocation museum,computer AtLocation museum,1
computer InheritsFrom doll,doll AtLocation closet,computer AtLocation closet,1
computer InheritsFrom doll,doll AtLocation doll house,computer AtLocation doll house,1
computer InheritsFrom doll,doll AtLocation desk,computer AtLocation desk,1
computer InheritsFrom doll,doll AtLocation school,computer AtLocation school,1
computer InheritsFrom doll,doll AtLocation home,computer AtLocation home,1
computer InheritsFrom doll,doll AtLocation apartment,computer AtLocation apartment,1
computer InheritsFrom doll,doll AtLocation park,computer AtLocation park,1
computer InheritsFrom doll,doll AtLocation church,computer AtLocation church,1
computer InheritsFrom doll,doll AtLocation fraternity house,computer AtLocation fraternity house,1
computer InheritsFrom doll,doll AtLocation subway,computer AtLocation subway,1
computer InheritsFrom doll,doll AtLocation office,computer AtLocation office,1
computer InheritsFrom doll,doll AtLocation library,computer AtLocation library,1
computer InheritsFrom doll,doll AtLocation den,computer AtLocation den,1
computer InheritsFrom doll,doll AtLocation child bedroom,computer AtLocation child bedroom,1
computer InheritsFrom doll,doll AtLocation dollhouse,computer AtLocation dollhouse,1
computer InheritsFrom doll,doll AtLocation toy store,computer AtLocation toy store,1
computer InheritsFrom doll,doll AtLocation small house,computer AtLocation small house,1
computer InheritsFrom doll,doll AtLocation stroller,computer AtLocation stroller,1
computer InheritsFrom doll,doll AtLocation kid bedroom,computer AtLocation kid bedroom,1
computer InheritsFrom doll,doll AtLocation kindergarten,computer AtLocation kindergarten,1
computer InheritsFrom doll,doll AtLocation miniature house,computer AtLocation miniature house,1
computer InheritsFrom doll,doll AtLocation pram,computer AtLocation pram,1
computer InheritsFrom doll,doll AtLocation toy basket,computer AtLocation toy basket,1
computer InheritsFrom doll,doll AtLocation toy house,computer AtLocation toy house,1
hammer InheritsFrom wrench,wrench AtLocation repair shop,hammer AtLocation repair shop,1
hammer InheritsFrom wrench,wrench AtLocation garage,hammer AtLocation garage,1
hammer InheritsFrom wrench,wrench AtLocation cabinet,hammer AtLocation cabinet,1
hammer InheritsFrom wrench,wrench AtLocation toolbox,hammer AtLocation toolbox,1
hammer InheritsFrom wrench,wrench AtLocation hardware store,hammer AtLocation hardware store,1
hammer InheritsFrom wrench,wrench AtLocation tool box,hammer AtLocation tool box,1
hammer InheritsFrom wrench,wrench AtLocation doctor,hammer AtLocation doctor,1
anger InheritsFrom fun,fun AtLocation watch television,anger AtLocation watch television,1
anger InheritsFrom fun,fun AtLocation friend house,anger AtLocation friend house,1
anger InheritsFrom fun,fun AtLocation party,anger AtLocation party,1
anger InheritsFrom fun,fun AtLocation fairground,anger AtLocation fairground,1
anger InheritsFrom fun,fun AtLocation playground,anger AtLocation playground,1
doll InheritsFrom computer,computer AtLocation work,doll AtLocation work,1
doll InheritsFrom computer,computer AtLocation moral human,doll AtLocation moral human,1
doll InheritsFrom computer,computer AtLocation apple,doll AtLocation apple,1
doll InheritsFrom computer,computer AtLocation office,doll AtLocation office,1
doll InheritsFrom computer,computer AtLocation table,doll AtLocation table,1
doll InheritsFrom computer,computer AtLocation box,doll AtLocation box,1
doll InheritsFrom computer,computer AtLocation university,doll AtLocation university,1
doll InheritsFrom computer,computer AtLocation desktop,doll AtLocation desktop,1
doll InheritsFrom computer,computer AtLocation library,doll AtLocation library,1
doll InheritsFrom computer,computer AtLocation apartment,doll AtLocation apartment,1
doll InheritsFrom computer,computer AtLocation space shuttle,doll AtLocation space shuttle,1
doll InheritsFrom computer,computer AtLocation airport,doll AtLocation airport,1
doll InheritsFrom computer,computer AtLocation person,doll AtLocation person,1
doll InheritsFrom computer,computer AtLocation use,doll AtLocation use,1
doll InheritsFrom computer,computer AtLocation bureau,doll AtLocation bureau,1
doll InheritsFrom computer,computer AtLocation post office,doll AtLocation post office,1
doll InheritsFrom computer,computer AtLocation car,doll AtLocation car,1
doll InheritsFrom computer,computer AtLocation country,doll AtLocation country,1
doll InheritsFrom computer,computer AtLocation demonstration,doll AtLocation demonstration,1
doll InheritsFrom computer,computer AtLocation spaceship,doll AtLocation spaceship,1
doll InheritsFrom computer,computer AtLocation computer store,doll AtLocation computer store,1
doll InheritsFrom computer,computer AtLocation any school,doll AtLocation any school,1
doll InheritsFrom computer,computer AtLocation fraternity house,doll AtLocation fraternity house,1
doll InheritsFrom computer,computer AtLocation hospital,doll AtLocation hospital,1
doll InheritsFrom computer,computer AtLocation school,doll AtLocation school,1
doll InheritsFrom computer,computer AtLocation jet airliner,doll AtLocation jet airliner,1
doll InheritsFrom computer,computer AtLocation repair shop,doll AtLocation repair shop,1
doll InheritsFrom computer,computer AtLocation office build,doll AtLocation office build,1
doll InheritsFrom computer,computer AtLocation classroom,doll AtLocation classroom,1
doll InheritsFrom computer,computer AtLocation build,doll AtLocation build,1
doll InheritsFrom computer,computer AtLocation backpack,doll AtLocation backpack,1
doll InheritsFrom computer,computer AtLocation store,doll AtLocation store,1
doll InheritsFrom computer,computer AtLocation restaurant,doll AtLocation restaurant,1
doll InheritsFrom computer,computer AtLocation resturant,doll AtLocation resturant,1
doll InheritsFrom computer,computer AtLocation new york city,doll AtLocation new york city,1
doll InheritsFrom computer,computer AtLocation town,doll AtLocation town,1
doll InheritsFrom computer,computer AtLocation grocery store,doll AtLocation grocery store,1
doll InheritsFrom computer,computer AtLocation winery,doll AtLocation winery,1
doll InheritsFrom computer,computer AtLocation mall,doll AtLocation mall,1
doll InheritsFrom computer,computer AtLocation submarine,doll AtLocation submarine,1
doll InheritsFrom computer,computer AtLocation planet,doll AtLocation planet,1
doll InheritsFrom computer,computer AtLocation london,doll AtLocation london,1
doll InheritsFrom computer,computer AtLocation plane,doll AtLocation plane,1
doll InheritsFrom computer,computer AtLocation bedroom,doll AtLocation bedroom,1
doll InheritsFrom computer,computer AtLocation planet earth,doll AtLocation planet earth,1
doll InheritsFrom computer,computer AtLocation bob jone university,doll AtLocation bob jone university,1
doll InheritsFrom computer,computer AtLocation city,doll AtLocation city,1
doll InheritsFrom computer,computer AtLocation pocket,doll AtLocation pocket,1
doll InheritsFrom computer,computer AtLocation shop,doll AtLocation shop,1
doll InheritsFrom computer,computer AtLocation hotel,doll AtLocation hotel,1
doll InheritsFrom computer,computer AtLocation music store,doll AtLocation music store,1
doll InheritsFrom computer,computer AtLocation museum,doll AtLocation museum,1
doll InheritsFrom computer,computer AtLocation brewery,doll AtLocation brewery,1
doll InheritsFrom computer,computer AtLocation church,doll AtLocation church,1
doll InheritsFrom computer,computer AtLocation earth,doll AtLocation earth,1
doll InheritsFrom computer,computer AtLocation outer space,doll AtLocation outer space,1
doll InheritsFrom computer,computer AtLocation newspaper,doll AtLocation newspaper,1
doll InheritsFrom computer,computer AtLocation fridge,doll AtLocation fridge,1
doll InheritsFrom computer,computer AtLocation jeep,doll AtLocation jeep,1
doll InheritsFrom computer,computer AtLocation gym,doll AtLocation gym,1
doll InheritsFrom computer,computer AtLocation outerspace,doll AtLocation outerspace,1
doll InheritsFrom computer,computer AtLocation venu,doll AtLocation venu,1
doll InheritsFrom computer,computer AtLocation furniture store,doll AtLocation furniture store,1
doll InheritsFrom computer,computer AtLocation pda,doll AtLocation pda,1
doll InheritsFrom computer,computer AtLocation office supply store,doll AtLocation office supply store,1
doll InheritsFrom computer,computer AtLocation meet,doll AtLocation meet,1
doll InheritsFrom computer,computer AtLocation bookstore,doll AtLocation bookstore,1
doll InheritsFrom computer,computer AtLocation conference,doll AtLocation conference,1
doll InheritsFrom computer,computer AtLocation friend house,doll AtLocation friend house,1
doll InheritsFrom computer,computer AtLocation garage,doll AtLocation garage,1
doll InheritsFrom computer,computer AtLocation neighbor house,doll AtLocation neighbor house,1
doll InheritsFrom computer,computer AtLocation state,doll AtLocation state,1
doll InheritsFrom computer,computer AtLocation mystery,doll AtLocation mystery,1
doll InheritsFrom computer,computer AtLocation chemistry lab,doll AtLocation chemistry lab,1
doll InheritsFrom computer,computer AtLocation toolbox,doll AtLocation toolbox,1
doll InheritsFrom computer,computer AtLocation book,doll AtLocation book,1
doll InheritsFrom computer,computer AtLocation room,doll AtLocation room,1
doll InheritsFrom computer,computer AtLocation hardware store,doll AtLocation hardware store,1
doll InheritsFrom computer,computer AtLocation sky,doll AtLocation sky,1
doll InheritsFrom computer,computer AtLocation stationery store,doll AtLocation stationery store,1
doll InheritsFrom computer,computer AtLocation art museum,doll AtLocation art museum,1
doll InheritsFrom computer,computer AtLocation toy store,doll AtLocation toy store,1
doll InheritsFrom computer,computer AtLocation space,doll AtLocation space,1
doll InheritsFrom computer,computer AtLocation landfill,doll AtLocation landfill,1
doll InheritsFrom computer,computer AtLocation shelf,doll AtLocation shelf,1
doll InheritsFrom computer,computer AtLocation funeral,doll AtLocation funeral,1
doll InheritsFrom computer,computer AtLocation cabinet,doll AtLocation cabinet,1
doll InheritsFrom computer,computer AtLocation confession,doll AtLocation confession,1
doll InheritsFrom computer,computer AtLocation wall,doll AtLocation wall,1
doll InheritsFrom computer,computer AtLocation tree,doll AtLocation tree,1
doll InheritsFrom computer,computer AtLocation air,doll AtLocation air,1
doll InheritsFrom computer,computer AtLocation boat,doll AtLocation boat,1
doll InheritsFrom computer,computer AtLocation live room,doll AtLocation live room,1
doll InheritsFrom computer,computer AtLocation doctor,doll AtLocation doctor,1
doll InheritsFrom computer,computer AtLocation bar,doll AtLocation bar,1
doll InheritsFrom computer,computer AtLocation synagogue,doll AtLocation synagogue,1
doll InheritsFrom computer,computer AtLocation basement,doll AtLocation basement,1
doll InheritsFrom computer,computer AtLocation philippine,doll AtLocation philippine,1
doll InheritsFrom computer,computer AtLocation supermarket,doll AtLocation supermarket,1
doll InheritsFrom computer,computer AtLocation bed,doll AtLocation bed,1
doll InheritsFrom computer,computer AtLocation desk drawer,doll AtLocation desk drawer,1
doll InheritsFrom computer,computer AtLocation drawer,doll AtLocation drawer,1
doll InheritsFrom computer,computer AtLocation airplane,doll AtLocation airplane,1
doll InheritsFrom computer,computer AtLocation treadmill,doll AtLocation treadmill,1
doll InheritsFrom computer,computer AtLocation farm,doll AtLocation farm,1
doll InheritsFrom computer,computer AtLocation movie theatre,doll AtLocation movie theatre,1
doll InheritsFrom computer,computer AtLocation ass,doll AtLocation ass,1
doll InheritsFrom computer,computer AtLocation pencil,doll AtLocation pencil,1
doll InheritsFrom computer,computer AtLocation crayon,doll AtLocation crayon,1
doll InheritsFrom computer,computer AtLocation baseball diamond,doll AtLocation baseball diamond,1
doll InheritsFrom computer,computer AtLocation soccer field,doll AtLocation soccer field,1
doll InheritsFrom computer,computer AtLocation pen,doll AtLocation pen,1
doll InheritsFrom computer,computer AtLocation suitcase,doll AtLocation suitcase,1
doll InheritsFrom computer,computer AtLocation fry pan,doll AtLocation fry pan,1
doll InheritsFrom computer,computer AtLocation coca cola,doll AtLocation coca cola,1
doll InheritsFrom computer,computer AtLocation sign,doll AtLocation sign,1
doll InheritsFrom computer,computer AtLocation cat,doll AtLocation cat,1
doll InheritsFrom computer,computer AtLocation cupboard,doll AtLocation cupboard,1
doll InheritsFrom computer,computer AtLocation dinner,doll AtLocation dinner,1
doll InheritsFrom computer,computer AtLocation street,doll AtLocation street,1
doll InheritsFrom computer,computer AtLocation theater,doll AtLocation theater,1
doll InheritsFrom computer,computer AtLocation under desk,doll AtLocation under desk,1
doll InheritsFrom computer,computer AtLocation graphic card,doll AtLocation graphic card,1
doll InheritsFrom computer,computer AtLocation observatory,doll AtLocation observatory,1
doll InheritsFrom computer,computer AtLocation mit medium lab,doll AtLocation mit medium lab,1
doll InheritsFrom computer,computer AtLocation class,doll AtLocation class,1
doll InheritsFrom computer,computer AtLocation home,doll AtLocation home,1
doll InheritsFrom computer,computer AtLocation laboratory,doll AtLocation laboratory,1
doll InheritsFrom computer,computer AtLocation briefcase,doll AtLocation briefcase,1
doll InheritsFrom computer,computer AtLocation desk,doll AtLocation desk,1
doll InheritsFrom computer,computer AtLocation internet cafe,doll AtLocation internet cafe,1
doll InheritsFrom computer,computer AtLocation kitchen,doll AtLocation kitchen,1
doll InheritsFrom computer,computer AtLocation any large city,doll AtLocation any large city,1
doll InheritsFrom computer,computer AtLocation college,doll AtLocation college,1
doll InheritsFrom computer,computer AtLocation cubicle,doll AtLocation cubicle,1
doll InheritsFrom computer,computer AtLocation marriage,doll AtLocation marriage,1
doll InheritsFrom computer,computer AtLocation universe,doll AtLocation universe,1
doll InheritsFrom computer,computer AtLocation motel,doll AtLocation motel,1
doll InheritsFrom computer,computer AtLocation mit,doll AtLocation mit,1
partygoer InheritsFrom mozart,mozart AtLocation jail,partygoer AtLocation jail,1
partygoer InheritsFrom mozart,mozart AtLocation office,partygoer AtLocation office,1
partygoer InheritsFrom mozart,mozart AtLocation university,partygoer AtLocation university,1
partygoer InheritsFrom mozart,mozart AtLocation movie,partygoer AtLocation movie,1
