Premise 1,Premise 2,Inferred,Gemini Response,Pattern
stab HasPainCharacter sharp,sharp CapableOf hurt person,stab CapableOf hurt person,yes,HasPainCharacter → CapableOf
crush HasPainCharacter pressure,pressure CapableOf break,crush CapableOf break,yes,HasPainCharacter → CapableOf
crush HasPainCharacter pressure,pressure CapableOf press matter,crush CapableOf press matter,yes,HasPainCharacter → CapableOf
prick HasPainCharacter sharp,sharp CapableOf damage,prick CapableOf damage,yes,HasPainCharacter → CapableOf
prick HasPainCharacter sharp,sharp CapableOf hurt,prick CapableOf hurt,yes,HasPainCharacter → CapableOf
prick HasPainCharacter sharp,sharp CapableOf pierce through human skin,prick CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
prick HasPainCharacter sharp,sharp CapableOf hurt person,prick CapableOf hurt person,yes,HasPainCharacter → CapableOf
lacerate HasPainCharacter sharp,sharp CapableOf damage,lacerate CapableOf damage,yes,HasPainCharacter → CapableOf
lacerate HasPainCharacter sharp,sharp CapableOf hurt,lacerate CapableOf hurt,yes,HasPainCharacter → CapableOf
lacerate HasPainCharacter sharp,sharp CapableOf pierce through human skin,lacerate CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
lacerate HasPainCharacter sharp,sharp CapableOf hurt person,lacerate CapableOf hurt person,yes,HasPainCharacter → CapableOf
get stab knife HasPainCharacter sharp,sharp CapableOf damage,get stab knife CapableOf damage,yes,HasPainCharacter → CapableOf
get stab knife HasPainCharacter sharp,sharp CapableOf hurt,get stab knife CapableOf hurt,yes,HasPainCharacter → CapableOf
get stab knife HasPainCharacter sharp,sharp CapableOf pierce through human skin,get stab knife CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
get stab knife HasPainCharacter sharp,sharp CapableOf hurt person,get stab knife CapableOf hurt person,yes,HasPainCharacter → CapableOf
scald HasPainCharacter hot,hot CapableOf burn hand,scald CapableOf burn hand,yes,HasPainCharacter → CapableOf
scald HasPainCharacter hot,hot CapableOf mean sexy,scald CapableOf mean sexy,yes,HasPainCharacter → CapableOf
scald HasPainCharacter hot,hot CapableOf kill human,scald CapableOf kill human,yes,HasPainCharacter → CapableOf
elephant sit chest HasPainCharacter pressure,pressure CapableOf break,elephant sit chest CapableOf break,yes,HasPainCharacter → CapableOf
elephant sit chest HasPainCharacter pressure,pressure CapableOf press matter,elephant sit chest CapableOf press matter,yes,HasPainCharacter → CapableOf
lancinate HasPainCharacter sharp,sharp CapableOf damage,lancinate CapableOf damage,yes,HasPainCharacter → CapableOf
lancinate HasPainCharacter sharp,sharp CapableOf hurt,lancinate CapableOf hurt,yes,HasPainCharacter → CapableOf
lancinate HasPainCharacter sharp,sharp CapableOf pierce through human skin,lancinate CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
lancinate HasPainCharacter sharp,sharp CapableOf hurt person,lancinate CapableOf hurt person,yes,HasPainCharacter → CapableOf
it CreatedBy human,human InheritsFrom master control,it InheritsFrom master control,yes,CreatedBy → InheritsFrom
it CreatedBy god,god InheritsFrom pastor,it InheritsFrom pastor,yes,CreatedBy → InheritsFrom
robot CreatedBy human,human InheritsFrom master control,robot InheritsFrom master control,yes,CreatedBy → InheritsFrom
television CreatedBy person,person InheritsFrom steak,television InheritsFrom steak,yes,CreatedBy → InheritsFrom
television CreatedBy person,person InheritsFrom master control,television InheritsFrom master control,yes,CreatedBy → InheritsFrom
sentence CreatedBy person,person InheritsFrom master control,sentence InheritsFrom master control,yes,CreatedBy → InheritsFrom
government CreatedBy person,person InheritsFrom master control,government InheritsFrom master control,yes,CreatedBy → InheritsFrom
sweat CreatedBy person,person InheritsFrom master control,sweat InheritsFrom master control,yes,CreatedBy → InheritsFrom
skyscraper CreatedBy person,person InheritsFrom master control,skyscraper InheritsFrom master control,yes,CreatedBy → InheritsFrom
ai CreatedBy person,person InheritsFrom apple,ai InheritsFrom apple,yes,CreatedBy → InheritsFrom
ai CreatedBy person,person InheritsFrom master control,ai InheritsFrom master control,yes,CreatedBy → InheritsFrom
vinyl CreatedBy human,human InheritsFrom master control,vinyl InheritsFrom master control,yes,CreatedBy → InheritsFrom
dam CreatedBy human,human InheritsFrom master control,dam InheritsFrom master control,yes,CreatedBy → InheritsFrom
system abstract think CreatedBy person,person InheritsFrom doll,system abstract think InheritsFrom doll,yes,CreatedBy → InheritsFrom
system abstract think CreatedBy person,person InheritsFrom master control,system abstract think InheritsFrom master control,yes,CreatedBy → InheritsFrom
ideology CreatedBy person,person InheritsFrom doll,ideology InheritsFrom doll,yes,CreatedBy → InheritsFrom
ideology CreatedBy person,person InheritsFrom master control,ideology InheritsFrom master control,yes,CreatedBy → InheritsFrom
jnosanov CreatedBy god,god InheritsFrom pastor,jnosanov InheritsFrom pastor,yes,CreatedBy → InheritsFrom
fuck DefinedAs sex,sex MadeOf poopy,fuck MadeOf poopy,yes,DefinedAs → MadeOf
fuck DefinedAs sex,sex MadeOf hormone,fuck MadeOf hormone,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf many recyclable material,wagon MadeOf many recyclable material,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf metal,wagon MadeOf metal,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf mainly metal other material,wagon MadeOf mainly metal other material,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf industry,wagon MadeOf industry,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf iron,wagon MadeOf iron,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf aluminium,wagon MadeOf aluminium,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf part,wagon MadeOf part,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf many,wagon MadeOf many,yes,DefinedAs → MadeOf
weasel DefinedAs person,person MadeOf plastic,weasel MadeOf plastic,yes,DefinedAs → MadeOf
weasel DefinedAs person,person MadeOf live cell,weasel MadeOf live cell,yes,DefinedAs → MadeOf
weasel DefinedAs person,person MadeOf meat,weasel MadeOf meat,yes,DefinedAs → MadeOf
weasel DefinedAs person,person MadeOf metal,weasel MadeOf metal,yes,DefinedAs → MadeOf
it DefinedAs statue liberty,statue liberty MadeOf copper,it MadeOf copper,yes,DefinedAs → MadeOf
it DefinedAs statue liberty,statue liberty MadeOf marble,it MadeOf marble,yes,DefinedAs → MadeOf
movie DefinedAs movie,movie MadeOf celluloid,movie MadeOf celluloid,yes,DefinedAs → MadeOf
movie DefinedAs movie,movie MadeOf many still picture shown quickly,movie MadeOf many still picture shown quickly,yes,DefinedAs → MadeOf
movie DefinedAs movie,movie MadeOf many frame,movie MadeOf many frame,yes,DefinedAs → MadeOf
movie DefinedAs movie,movie MadeOf many photograph flash quickly succession screen darken room give illusion motion,movie MadeOf many photograph flash quickly succession screen darken room give illusion motion,yes,DefinedAs → MadeOf
game DefinedAs animal,animal MadeOf cell molecule atom,game MadeOf cell molecule atom,yes,DefinedAs → MadeOf
learn DefinedAs life,life MadeOf memory,learn MadeOf memory,yes,DefinedAs → MadeOf
typewriter DefinedAs this,this MadeOf metal,typewriter MadeOf metal,yes,DefinedAs → MadeOf
pen DefinedAs book,book MadeOf paper page,pen MadeOf paper page,yes,DefinedAs → MadeOf
pen DefinedAs book,book MadeOf worm dust,pen MadeOf worm dust,yes,DefinedAs → MadeOf
leaf DefinedAs page book,page book MadeOf paper,leaf MadeOf paper,yes,DefinedAs → MadeOf
text DefinedAs written word,written word MadeOf character,text MadeOf character,yes,DefinedAs → MadeOf
this DefinedAs capitol dome,capitol dome MadeOf iron,this MadeOf iron,yes,DefinedAs → MadeOf
this DefinedAs statue liberty,statue liberty MadeOf copper,this MadeOf copper,yes,DefinedAs → MadeOf
this DefinedAs statue liberty,statue liberty MadeOf marble,this MadeOf marble,yes,DefinedAs → MadeOf
that DefinedAs statue liberty,statue liberty MadeOf copper,that MadeOf copper,yes,DefinedAs → MadeOf
mammal DefinedAs dog,dog MadeOf fur,mammal MadeOf fur,yes,DefinedAs → MadeOf
mammal DefinedAs dog,dog MadeOf hair,mammal MadeOf hair,yes,DefinedAs → MadeOf
mammal DefinedAs dog,dog MadeOf flesh bone,mammal MadeOf flesh bone,yes,DefinedAs → MadeOf
mammal DefinedAs dog,dog MadeOf live meat,mammal MadeOf live meat,yes,DefinedAs → MadeOf
god DefinedAs love,love MadeOf share care,god MadeOf share care,yes,DefinedAs → MadeOf
god DefinedAs love,love MadeOf hope,god MadeOf hope,yes,DefinedAs → MadeOf
god DefinedAs love,love MadeOf poopy,god MadeOf poopy,yes,DefinedAs → MadeOf
java DefinedAs coffee,coffee MadeOf water,java MadeOf water,yes,DefinedAs → MadeOf
java DefinedAs coffee,coffee MadeOf coffee bean,java MadeOf coffee bean,yes,DefinedAs → MadeOf
java DefinedAs coffee,coffee MadeOf cofee bean witch contain caffeine natural ingredient,java MadeOf cofee bean witch contain caffeine natural ingredient,yes,DefinedAs → MadeOf
clinton DefinedAs president,president MadeOf substance dumb,clinton MadeOf substance dumb,yes,DefinedAs → MadeOf
energy DefinedAs everything,everything MadeOf mind stuff,energy MadeOf mind stuff,yes,DefinedAs → MadeOf
fear DefinedAs key,key MadeOf brass steel,fear MadeOf brass steel,yes,DefinedAs → MadeOf
religion DefinedAs unite divide mass,unite divide mass MadeOf scheme,religion MadeOf scheme,yes,DefinedAs → MadeOf
carl sagan DefinedAs man,man MadeOf steel,carl sagan MadeOf steel,yes,DefinedAs → MadeOf
carl sagan DefinedAs man,man MadeOf matter,carl sagan MadeOf matter,yes,DefinedAs → MadeOf
carl sagan DefinedAs man,man MadeOf emotion,carl sagan MadeOf emotion,yes,DefinedAs → MadeOf
gas DefinedAs gasoline,gasoline MadeOf crude oil,gas MadeOf crude oil,yes,DefinedAs → MadeOf
not know DefinedAs use,use MadeOf hoof,not know MadeOf hoof,yes,DefinedAs → MadeOf
movie ticket DefinedAs movie ticket,movie ticket MadeOf paper,movie ticket MadeOf paper,yes,DefinedAs → MadeOf
iron DefinedAs golf club,golf club MadeOf metal,iron MadeOf metal,yes,DefinedAs → MadeOf
sol DefinedAs sun,sun MadeOf atom,sol MadeOf atom,yes,DefinedAs → MadeOf
sol DefinedAs sun,sun MadeOf athom,sol MadeOf athom,yes,DefinedAs → MadeOf
sheet DefinedAs linen,linen MadeOf cotton,sheet MadeOf cotton,yes,DefinedAs → MadeOf
cream cheese DefinedAs word,word MadeOf letter,cream cheese MadeOf letter,yes,DefinedAs → MadeOf
cream cheese DefinedAs word,word MadeOf letter alphabet,cream cheese MadeOf letter alphabet,yes,DefinedAs → MadeOf
consumer DefinedAs person,person MadeOf plastic,consumer MadeOf plastic,yes,DefinedAs → MadeOf
consumer DefinedAs person,person MadeOf live cell,consumer MadeOf live cell,yes,DefinedAs → MadeOf
consumer DefinedAs person,person MadeOf meat,consumer MadeOf meat,yes,DefinedAs → MadeOf
consumer DefinedAs person,person MadeOf metal,consumer MadeOf metal,yes,DefinedAs → MadeOf
soft drink DefinedAs soda,soda MadeOf aluminum,soft drink MadeOf aluminum,yes,DefinedAs → MadeOf
summer basket DefinedAs green,green MadeOf blue yello,summer basket MadeOf blue yello,yes,DefinedAs → MadeOf
duckie DefinedAs rubber duck,rubber duck MadeOf plastic,duckie MadeOf plastic,yes,DefinedAs → MadeOf
find outside DefinedAs sun,sun MadeOf atom,find outside MadeOf atom,yes,DefinedAs → MadeOf
pierce brosnan DefinedAs man,man MadeOf steel,pierce brosnan MadeOf steel,yes,DefinedAs → MadeOf
pierce brosnan DefinedAs man,man MadeOf matter,pierce brosnan MadeOf matter,yes,DefinedAs → MadeOf
pierce brosnan DefinedAs man,man MadeOf emotion,pierce brosnan MadeOf emotion,yes,DefinedAs → MadeOf
client DefinedAs person,person MadeOf plastic,client MadeOf plastic,yes,DefinedAs → MadeOf
client DefinedAs person,person MadeOf live cell,client MadeOf live cell,yes,DefinedAs → MadeOf
client DefinedAs person,person MadeOf meat,client MadeOf meat,yes,DefinedAs → MadeOf
client DefinedAs person,person MadeOf metal,client MadeOf metal,yes,DefinedAs → MadeOf
form art DefinedAs music,music MadeOf organize sound,form art MadeOf organize sound,yes,DefinedAs → MadeOf
picture frame DefinedAs this,this MadeOf metal,picture frame MadeOf metal,yes,DefinedAs → MadeOf
thomas jefferson DefinedAs president,president MadeOf substance dumb,thomas jefferson MadeOf substance dumb,yes,DefinedAs → MadeOf
mutt DefinedAs dog,dog MadeOf fur,mutt MadeOf fur,yes,DefinedAs → MadeOf
mutt DefinedAs dog,dog MadeOf hair,mutt MadeOf hair,yes,DefinedAs → MadeOf
mutt DefinedAs dog,dog MadeOf flesh bone,mutt MadeOf flesh bone,yes,DefinedAs → MadeOf
mutt DefinedAs dog,dog MadeOf live meat,mutt MadeOf live meat,yes,DefinedAs → MadeOf
adjustable wrench DefinedAs tool,tool MadeOf iron,adjustable wrench MadeOf iron,yes,DefinedAs → MadeOf
adjustable wrench DefinedAs tool,tool MadeOf metal,adjustable wrench MadeOf metal,yes,DefinedAs → MadeOf
adjustable wrench DefinedAs tool,tool MadeOf clay,adjustable wrench MadeOf clay,yes,DefinedAs → MadeOf
adjustable wrench DefinedAs tool,tool MadeOf metal because metal strong,adjustable wrench MadeOf metal because metal strong,yes,DefinedAs → MadeOf
adjustable wrench DefinedAs tool,tool MadeOf steel,adjustable wrench MadeOf steel,yes,DefinedAs → MadeOf
head state DefinedAs president,president MadeOf substance dumb,head state MadeOf substance dumb,yes,DefinedAs → MadeOf
george DefinedAs president,president MadeOf substance dumb,george MadeOf substance dumb,yes,DefinedAs → MadeOf
rubber england DefinedAs eraser,eraser MadeOf rubber,rubber england MadeOf rubber,yes,DefinedAs → MadeOf
rubber england DefinedAs eraser,eraser MadeOf gum rubber,rubber england MadeOf gum rubber,yes,DefinedAs → MadeOf
rubber england DefinedAs eraser,eraser MadeOf soft rubber compound remove erase pencil mark paper,rubber england MadeOf soft rubber compound remove erase pencil mark paper,yes,DefinedAs → MadeOf
automatic weapon DefinedAs machine gun,machine gun MadeOf metal,automatic weapon MadeOf metal,yes,DefinedAs → MadeOf
method transportation DefinedAs bicycle,bicycle MadeOf metal,method transportation MadeOf metal,yes,DefinedAs → MadeOf
method transportation DefinedAs bicycle,bicycle MadeOf steel aluminum composite material,method transportation MadeOf steel aluminum composite material,yes,DefinedAs → MadeOf
target make up ring DefinedAs this,this MadeOf metal,target make up ring MadeOf metal,yes,DefinedAs → MadeOf
skyscraper because tall DefinedAs building,building MadeOf concrete brick,skyscraper because tall MadeOf concrete brick,yes,DefinedAs → MadeOf
plunger plumber helper DefinedAs this,this MadeOf metal,plunger plumber helper MadeOf metal,yes,DefinedAs → MadeOf
world globe DefinedAs object,object MadeOf metal,world globe MadeOf metal,yes,DefinedAs → MadeOf
world globe DefinedAs object,object MadeOf plastic,world globe MadeOf plastic,yes,DefinedAs → MadeOf
world globe DefinedAs object,object MadeOf wood,world globe MadeOf wood,yes,DefinedAs → MadeOf
close star earth DefinedAs sun,sun MadeOf atom,close star earth MadeOf atom,yes,DefinedAs → MadeOf
close star earth DefinedAs sun,sun MadeOf athom,close star earth MadeOf athom,yes,DefinedAs → MadeOf
efficient type macine DefinedAs bicycle,bicycle MadeOf metal,efficient type macine MadeOf metal,yes,DefinedAs → MadeOf
efficient type macine DefinedAs bicycle,bicycle MadeOf steel aluminum composite material,efficient type macine MadeOf steel aluminum composite material,yes,DefinedAs → MadeOf
efficient type machine DefinedAs bicycle,bicycle MadeOf metal,efficient type machine MadeOf metal,yes,DefinedAs → MadeOf
efficient type machine DefinedAs bicycle,bicycle MadeOf steel aluminum composite material,efficient type machine MadeOf steel aluminum composite material,yes,DefinedAs → MadeOf
description DefinedAs this,this MadeOf metal,description MadeOf metal,yes,DefinedAs → MadeOf
life perserver DefinedAs candy,candy MadeOf sugar,life perserver MadeOf sugar,yes,DefinedAs → MadeOf
brigette lubbock DefinedAs person,person MadeOf plastic,brigette lubbock MadeOf plastic,yes,DefinedAs → MadeOf
brigette lubbock DefinedAs person,person MadeOf live cell,brigette lubbock MadeOf live cell,yes,DefinedAs → MadeOf
brigette lubbock DefinedAs person,person MadeOf meat,brigette lubbock MadeOf meat,yes,DefinedAs → MadeOf
brigette lubbock DefinedAs person,person MadeOf metal,brigette lubbock MadeOf metal,yes,DefinedAs → MadeOf
breast booby DefinedAs boob,boob MadeOf soft tissue,breast booby MadeOf soft tissue,yes,DefinedAs → MadeOf
human outer layer flesh DefinedAs skin,skin MadeOf cell,human outer layer flesh MadeOf cell,yes,DefinedAs → MadeOf
rarebird DefinedAs this,this MadeOf metal,rarebird MadeOf metal,yes,DefinedAs → MadeOf
universal solvent DefinedAs water,water MadeOf h2o,universal solvent MadeOf h2o,yes,DefinedAs → MadeOf
divan chesterfield DefinedAs sofa,sofa MadeOf material,divan chesterfield MadeOf material,yes,DefinedAs → MadeOf
divan chesterfield DefinedAs sofa,sofa MadeOf cloth leather,divan chesterfield MadeOf cloth leather,yes,DefinedAs → MadeOf
divan chesterfield DefinedAs sofa,sofa MadeOf leather,divan chesterfield MadeOf leather,yes,DefinedAs → MadeOf
activity person DefinedAs movie,movie MadeOf celluloid,activity person MadeOf celluloid,yes,DefinedAs → MadeOf
activity person DefinedAs movie,movie MadeOf many still picture shown quickly,activity person MadeOf many still picture shown quickly,yes,DefinedAs → MadeOf
activity person DefinedAs movie,movie MadeOf many frame,activity person MadeOf many frame,yes,DefinedAs → MadeOf
activity person DefinedAs movie,movie MadeOf many photograph flash quickly succession screen darken room give illusion motion,activity person MadeOf many photograph flash quickly succession screen darken room give illusion motion,yes,DefinedAs → MadeOf
card because jovial nature DefinedAs person,person MadeOf plastic,card because jovial nature MadeOf plastic,yes,DefinedAs → MadeOf
card because jovial nature DefinedAs person,person MadeOf live cell,card because jovial nature MadeOf live cell,yes,DefinedAs → MadeOf
card because jovial nature DefinedAs person,person MadeOf meat,card because jovial nature MadeOf meat,yes,DefinedAs → MadeOf
card because jovial nature DefinedAs person,person MadeOf metal,card because jovial nature MadeOf metal,yes,DefinedAs → MadeOf
only god leave alive DefinedAs tv,tv MadeOf plastic,only god leave alive MadeOf plastic,yes,DefinedAs → MadeOf
only god leave alive DefinedAs tv,tv MadeOf glass,only god leave alive MadeOf glass,yes,DefinedAs → MadeOf
only god leave alive DefinedAs tv,tv MadeOf metal,only god leave alive MadeOf metal,yes,DefinedAs → MadeOf
lavage stomach irrigate DefinedAs it,it MadeOf wood,lavage stomach irrigate MadeOf wood,yes,DefinedAs → MadeOf
lavage stomach irrigate DefinedAs it,it MadeOf rattan plastic,lavage stomach irrigate MadeOf rattan plastic,yes,DefinedAs → MadeOf
sponsor project DefinedAs government,government MadeOf political ideology,sponsor project MadeOf political ideology,yes,DefinedAs → MadeOf
sponsor project DefinedAs government,government MadeOf 3 branch juducial legislative executive,sponsor project MadeOf 3 branch juducial legislative executive,yes,DefinedAs → MadeOf
sponsor project DefinedAs government,government MadeOf person organization,sponsor project MadeOf person organization,yes,DefinedAs → MadeOf
china primary personal vehicle DefinedAs bicycle,bicycle MadeOf metal,china primary personal vehicle MadeOf metal,yes,DefinedAs → MadeOf
china primary personal vehicle DefinedAs bicycle,bicycle MadeOf steel aluminum composite material,china primary personal vehicle MadeOf steel aluminum composite material,yes,DefinedAs → MadeOf
kendo DefinedAs sword,sword MadeOf steel,kendo MadeOf steel,yes,DefinedAs → MadeOf
kendo DefinedAs sword,sword MadeOf metal,kendo MadeOf metal,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf flesh blood,myself MadeOf flesh blood,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf feelings,myself MadeOf feelings,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf protoplasm,myself MadeOf protoplasm,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf meat,myself MadeOf meat,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf flesh,myself MadeOf flesh,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf soil,myself MadeOf soil,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf organic tissue among other,myself MadeOf organic tissue among other,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf live meat,myself MadeOf live meat,yes,DefinedAs → MadeOf
myself DefinedAs human,human MadeOf mostly water,myself MadeOf mostly water,yes,DefinedAs → MadeOf
earth InstanceOf planet solar system,planet solar system AtLocation space,earth AtLocation space,yes,InstanceOf_AtLocation
yerevan InstanceOf city,city AtLocation province,yerevan AtLocation province,yes,InstanceOf_AtLocation
yerevan InstanceOf city,city AtLocation surface earth,yerevan AtLocation surface earth,yes,InstanceOf_AtLocation
yerevan InstanceOf city,city AtLocation city,yerevan AtLocation city,yes,InstanceOf_AtLocation
yerevan InstanceOf city,city AtLocation any large city,yerevan AtLocation any large city,yes,InstanceOf_AtLocation
yerevan InstanceOf city,city AtLocation state province,yerevan AtLocation state province,yes,InstanceOf_AtLocation
yerevan InstanceOf city,city AtLocation urban area,yerevan AtLocation urban area,yes,InstanceOf_AtLocation
brazil InstanceOf country,country AtLocation globe map,brazil AtLocation globe map,yes,InstanceOf_AtLocation
brazil InstanceOf country,country AtLocation forest,brazil AtLocation forest,yes,InstanceOf_AtLocation
brazil InstanceOf country,country AtLocation great outdoors,brazil AtLocation great outdoors,yes,InstanceOf_AtLocation
brazil InstanceOf country,country AtLocation wa4,brazil AtLocation wa4,yes,InstanceOf_AtLocation
brazil InstanceOf country,country AtLocation rural area,brazil AtLocation rural area,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation market,strawberry AtLocation market,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation fruit grove,strawberry AtLocation fruit grove,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation container,strawberry AtLocation container,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation pantry,strawberry AtLocation pantry,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation produce section,strawberry AtLocation produce section,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation fruit cocktail,strawberry AtLocation fruit cocktail,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation supermarket,strawberry AtLocation supermarket,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation refridgerator,strawberry AtLocation refridgerator,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation plate,strawberry AtLocation plate,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation fridge,strawberry AtLocation fridge,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation mouth,strawberry AtLocation mouth,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation refriderator,strawberry AtLocation refriderator,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation san francisco,strawberry AtLocation san francisco,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation refrigerator,strawberry AtLocation refrigerator,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation jar,strawberry AtLocation jar,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation basket,strawberry AtLocation basket,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation fruit bowl,strawberry AtLocation fruit bowl,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation kitchen,strawberry AtLocation kitchen,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation shop,strawberry AtLocation shop,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation pizza,strawberry AtLocation pizza,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation freezer,strawberry AtLocation freezer,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation store,strawberry AtLocation store,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation dinner,strawberry AtLocation dinner,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation home,strawberry AtLocation home,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation field,strawberry AtLocation field,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation apartment,strawberry AtLocation apartment,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation garden,strawberry AtLocation garden,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation resturant,strawberry AtLocation resturant,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation house,strawberry AtLocation house,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation farmer market,strawberry AtLocation farmer market,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation forest,strawberry AtLocation forest,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation mall,strawberry AtLocation mall,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation cupboard,strawberry AtLocation cupboard,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation table,strawberry AtLocation table,yes,InstanceOf_AtLocation
strawberry InstanceOf fruit,fruit AtLocation park,strawberry AtLocation park,yes,InstanceOf_AtLocation
