Premise 1,Premise 2,Inferred,Gemini Response,Pattern
main HasProperty lion,lion InstanceOf atrocious animal,main InstanceOf atrocious animal,yes,
dynasty HasProperty lineage,lineage InstanceOf online game,dynasty InstanceOf online game,yes,
bore HasPainCharacter sharp,sharp CapableOf damage,bore CapableOf damage,yes,HasPainCharacter → CapableOf
bore HasPainCharacter sharp,sharp CapableOf hurt,bore CapableOf hurt,yes,HasPainCharacter → CapableOf
bore HasPainCharacter sharp,sharp CapableOf pierce through human skin,bore CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
bore HasPainCharacter sharp,sharp CapableOf hurt person,bore CapableOf hurt person,yes,HasPainCharacter → CapableOf
bore HasPainCharacter hot,hot CapableOf burn hand,bore CapableOf burn hand,yes,HasPainCharacter → CapableOf
bore HasPainCharacter hot,hot CapableOf mean sexy,bore CapableOf mean sexy,yes,HasPainCharacter → CapableOf
bore HasPainCharacter hot,hot CapableOf kill human,bore CapableOf kill human,yes,HasPainCharacter → CapableOf
bore HasPainCharacter hot,hot CapableOf warm cold,bore CapableOf warm cold,yes,HasPainCharacter → CapableOf
heavy HasPainCharacter pressure,pressure CapableOf break,heavy CapableOf break,yes,HasPainCharacter → CapableOf
heavy HasPainCharacter pressure,pressure CapableOf press matter,heavy CapableOf press matter,yes,HasPainCharacter → CapableOf
drill HasPainCharacter sharp,sharp CapableOf damage,drill CapableOf damage,yes,HasPainCharacter → CapableOf
drill HasPainCharacter sharp,sharp CapableOf hurt,drill CapableOf hurt,yes,HasPainCharacter → CapableOf
drill HasPainCharacter sharp,sharp CapableOf pierce through human skin,drill CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
drill HasPainCharacter sharp,sharp CapableOf hurt person,drill CapableOf hurt person,yes,HasPainCharacter → CapableOf
sear HasPainCharacter hot,hot CapableOf burn hand,sear CapableOf burn hand,yes,HasPainCharacter → CapableOf
sear HasPainCharacter hot,hot CapableOf mean sexy,sear CapableOf mean sexy,yes,HasPainCharacter → CapableOf
sear HasPainCharacter hot,hot CapableOf kill human,sear CapableOf kill human,yes,HasPainCharacter → CapableOf
sear HasPainCharacter hot,hot CapableOf warm cold,sear CapableOf warm cold,no,HasPainCharacter → CapableOf
stab HasPainCharacter sharp,sharp CapableOf damage,stab CapableOf damage,yes,HasPainCharacter → CapableOf
stab HasPainCharacter sharp,sharp CapableOf hurt,stab CapableOf hurt,yes,HasPainCharacter → CapableOf
stab HasPainCharacter sharp,sharp CapableOf pierce through human skin,stab CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
stab HasPainCharacter sharp,sharp CapableOf hurt person,stab CapableOf hurt person,yes,HasPainCharacter → CapableOf
crush HasPainCharacter pressure,pressure CapableOf break,crush CapableOf break,yes,HasPainCharacter → CapableOf
crush HasPainCharacter pressure,pressure CapableOf press matter,crush CapableOf press matter,yes,HasPainCharacter → CapableOf
prick HasPainCharacter sharp,sharp CapableOf damage,prick CapableOf damage,yes,HasPainCharacter → CapableOf
prick HasPainCharacter sharp,sharp CapableOf hurt,prick CapableOf hurt,yes,HasPainCharacter → CapableOf
prick HasPainCharacter sharp,sharp CapableOf pierce through human skin,prick CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
prick HasPainCharacter sharp,sharp CapableOf hurt person,prick CapableOf hurt person,yes,HasPainCharacter → CapableOf
gnaw HasPainCharacter pressure,pressure CapableOf break,gnaw CapableOf break,no,HasPainCharacter → CapableOf
gnaw HasPainCharacter pressure,pressure CapableOf press matter,gnaw CapableOf press matter,no,HasPainCharacter → CapableOf
pinch HasPainCharacter pressure,pressure CapableOf break,pinch CapableOf break,no,HasPainCharacter → CapableOf
pinch HasPainCharacter pressure,pressure CapableOf press matter,pinch CapableOf press matter,no,HasPainCharacter → CapableOf
lacerate HasPainCharacter sharp,sharp CapableOf damage,lacerate CapableOf damage,yes,HasPainCharacter → CapableOf
lacerate HasPainCharacter sharp,sharp CapableOf hurt,lacerate CapableOf hurt,yes,HasPainCharacter → CapableOf
lacerate HasPainCharacter sharp,sharp CapableOf pierce through human skin,lacerate CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
lacerate HasPainCharacter sharp,sharp CapableOf hurt person,lacerate CapableOf hurt person,yes,HasPainCharacter → CapableOf
get stab knife HasPainCharacter sharp,sharp CapableOf damage,get stab knife CapableOf damage,yes,HasPainCharacter → CapableOf
get stab knife HasPainCharacter sharp,sharp CapableOf hurt,get stab knife CapableOf hurt,yes,HasPainCharacter → CapableOf
get stab knife HasPainCharacter sharp,sharp CapableOf pierce through human skin,get stab knife CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
get stab knife HasPainCharacter sharp,sharp CapableOf hurt person,get stab knife CapableOf hurt person,yes,HasPainCharacter → CapableOf
scald HasPainCharacter hot,hot CapableOf burn hand,scald CapableOf burn hand,yes,HasPainCharacter → CapableOf
scald HasPainCharacter hot,hot CapableOf mean sexy,scald CapableOf mean sexy,yes,HasPainCharacter → CapableOf
scald HasPainCharacter hot,hot CapableOf kill human,scald CapableOf kill human,yes,HasPainCharacter → CapableOf
scald HasPainCharacter hot,hot CapableOf warm cold,scald CapableOf warm cold,no,HasPainCharacter → CapableOf
elephant sit chest HasPainCharacter pressure,pressure CapableOf break,elephant sit chest CapableOf break,yes,HasPainCharacter → CapableOf
elephant sit chest HasPainCharacter pressure,pressure CapableOf press matter,elephant sit chest CapableOf press matter,yes,HasPainCharacter → CapableOf
lancinate HasPainCharacter sharp,sharp CapableOf damage,lancinate CapableOf damage,yes,HasPainCharacter → CapableOf
lancinate HasPainCharacter sharp,sharp CapableOf hurt,lancinate CapableOf hurt,yes,HasPainCharacter → CapableOf
lancinate HasPainCharacter sharp,sharp CapableOf pierce through human skin,lancinate CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
lancinate HasPainCharacter sharp,sharp CapableOf hurt person,lancinate CapableOf hurt person,yes,HasPainCharacter → CapableOf
it CreatedBy human,human InheritsFrom master control,it InheritsFrom master control,yes,CreatedBy → InheritsFrom
it CreatedBy god,god InheritsFrom pastor,it InheritsFrom pastor,yes,CreatedBy → InheritsFrom
movie CreatedBy director,director InheritsFrom fisherman,movie InheritsFrom fisherman,no,CreatedBy → InheritsFrom
movie CreatedBy director,director InheritsFrom mozart,movie InheritsFrom mozart,no,CreatedBy → InheritsFrom
cat CreatedBy god,god InheritsFrom pastor,cat InheritsFrom pastor,no,CreatedBy → InheritsFrom
robot CreatedBy human,human InheritsFrom master control,robot InheritsFrom master control,yes,CreatedBy → InheritsFrom
mistake CreatedBy person,person InheritsFrom steak,mistake InheritsFrom steak,no,CreatedBy → InheritsFrom
mistake CreatedBy person,person InheritsFrom apple,mistake InheritsFrom apple,no,CreatedBy → InheritsFrom
mistake CreatedBy person,person InheritsFrom doll,mistake InheritsFrom doll,no,CreatedBy → InheritsFrom
mistake CreatedBy person,person InheritsFrom master control,mistake InheritsFrom master control,no,CreatedBy → InheritsFrom
mistake CreatedBy person,person InheritsFrom food store,mistake InheritsFrom food store,no,CreatedBy → InheritsFrom
everything CreatedBy god,god InheritsFrom pastor,everything InheritsFrom pastor,no,CreatedBy → InheritsFrom
television CreatedBy person,person InheritsFrom steak,television InheritsFrom steak,yes,CreatedBy → InheritsFrom
television CreatedBy person,person InheritsFrom apple,television InheritsFrom apple,no,CreatedBy → InheritsFrom
television CreatedBy person,person InheritsFrom doll,television InheritsFrom doll,no,CreatedBy → InheritsFrom
television CreatedBy person,person InheritsFrom master control,television InheritsFrom master control,yes,CreatedBy → InheritsFrom
television CreatedBy person,person InheritsFrom food store,television InheritsFrom food store,no,CreatedBy → InheritsFrom
sentence CreatedBy person,person InheritsFrom steak,sentence InheritsFrom steak,no,CreatedBy → InheritsFrom
sentence CreatedBy person,person InheritsFrom apple,sentence InheritsFrom apple,no,CreatedBy → InheritsFrom
sentence CreatedBy person,person InheritsFrom doll,sentence InheritsFrom doll,no,CreatedBy → InheritsFrom
sentence CreatedBy person,person InheritsFrom master control,sentence InheritsFrom master control,yes,CreatedBy → InheritsFrom
sentence CreatedBy person,person InheritsFrom food store,sentence InheritsFrom food store,no,CreatedBy → InheritsFrom
universe CreatedBy god,god InheritsFrom pastor,universe InheritsFrom pastor,no,CreatedBy → InheritsFrom
earth CreatedBy god,god InheritsFrom pastor,earth InheritsFrom pastor,no,CreatedBy → InheritsFrom
idea CreatedBy person,person InheritsFrom steak,idea InheritsFrom steak,no,CreatedBy → InheritsFrom
idea CreatedBy person,person InheritsFrom apple,idea InheritsFrom apple,no,CreatedBy → InheritsFrom
idea CreatedBy person,person InheritsFrom doll,idea InheritsFrom doll,no,CreatedBy → InheritsFrom
idea CreatedBy person,person InheritsFrom master control,idea InheritsFrom master control,no,CreatedBy → InheritsFrom
idea CreatedBy person,person InheritsFrom food store,idea InheritsFrom food store,no,CreatedBy → InheritsFrom
government CreatedBy person,person InheritsFrom steak,government InheritsFrom steak,no,CreatedBy → InheritsFrom
government CreatedBy person,person InheritsFrom apple,government InheritsFrom apple,no,CreatedBy → InheritsFrom
government CreatedBy person,person InheritsFrom doll,government InheritsFrom doll,no,CreatedBy → InheritsFrom
government CreatedBy person,person InheritsFrom master control,government InheritsFrom master control,yes,CreatedBy → InheritsFrom
government CreatedBy person,person InheritsFrom food store,government InheritsFrom food store,no,CreatedBy → InheritsFrom
film CreatedBy person,person InheritsFrom steak,film InheritsFrom steak,no,CreatedBy → InheritsFrom
film CreatedBy person,person InheritsFrom apple,film InheritsFrom apple,no,CreatedBy → InheritsFrom
film CreatedBy person,person InheritsFrom doll,film InheritsFrom doll,no,CreatedBy → InheritsFrom
film CreatedBy person,person InheritsFrom master control,film InheritsFrom master control,no,CreatedBy → InheritsFrom
film CreatedBy person,person InheritsFrom food store,film InheritsFrom food store,no,CreatedBy → InheritsFrom
film CreatedBy director,director InheritsFrom fisherman,film InheritsFrom fisherman,no,CreatedBy → InheritsFrom
film CreatedBy director,director InheritsFrom mozart,film InheritsFrom mozart,no,CreatedBy → InheritsFrom
food CreatedBy person,person InheritsFrom steak,food InheritsFrom steak,no,CreatedBy → InheritsFrom
food CreatedBy person,person InheritsFrom apple,food InheritsFrom apple,no,CreatedBy → InheritsFrom
food CreatedBy person,person InheritsFrom doll,food InheritsFrom doll,no,CreatedBy → InheritsFrom
food CreatedBy person,person InheritsFrom master control,food InheritsFrom master control,no,CreatedBy → InheritsFrom
food CreatedBy person,person InheritsFrom food store,food InheritsFrom food store,no,CreatedBy → InheritsFrom
sweat CreatedBy person,person InheritsFrom steak,sweat InheritsFrom steak,no,CreatedBy → InheritsFrom
sweat CreatedBy person,person InheritsFrom apple,sweat InheritsFrom apple,no,CreatedBy → InheritsFrom
sweat CreatedBy person,person InheritsFrom doll,sweat InheritsFrom doll,no,CreatedBy → InheritsFrom
sweat CreatedBy person,person InheritsFrom master control,sweat InheritsFrom master control,yes,CreatedBy → InheritsFrom
sweat CreatedBy person,person InheritsFrom food store,sweat InheritsFrom food store,no,CreatedBy → InheritsFrom
world CreatedBy god,god InheritsFrom pastor,world InheritsFrom pastor,no,CreatedBy → InheritsFrom
machine CreatedBy person,person InheritsFrom steak,machine InheritsFrom steak,no,CreatedBy → InheritsFrom
machine CreatedBy person,person InheritsFrom apple,machine InheritsFrom apple,no,CreatedBy → InheritsFrom
machine CreatedBy person,person InheritsFrom doll,machine InheritsFrom doll,no,CreatedBy → InheritsFrom
machine CreatedBy person,person InheritsFrom master control,machine InheritsFrom master control,no,CreatedBy → InheritsFrom
machine CreatedBy person,person InheritsFrom food store,machine InheritsFrom food store,no,CreatedBy → InheritsFrom
skyscraper CreatedBy person,person InheritsFrom steak,skyscraper InheritsFrom steak,no,CreatedBy → InheritsFrom
skyscraper CreatedBy person,person InheritsFrom apple,skyscraper InheritsFrom apple,no,CreatedBy → InheritsFrom
skyscraper CreatedBy person,person InheritsFrom doll,skyscraper InheritsFrom doll,no,CreatedBy → InheritsFrom
skyscraper CreatedBy person,person InheritsFrom master control,skyscraper InheritsFrom master control,yes,CreatedBy → InheritsFrom
skyscraper CreatedBy person,person InheritsFrom food store,skyscraper InheritsFrom food store,no,CreatedBy → InheritsFrom
ai CreatedBy person,person InheritsFrom steak,ai InheritsFrom steak,no,CreatedBy → InheritsFrom
ai CreatedBy person,person InheritsFrom apple,ai InheritsFrom apple,yes,CreatedBy → InheritsFrom
ai CreatedBy person,person InheritsFrom doll,ai InheritsFrom doll,no,CreatedBy → InheritsFrom
ai CreatedBy person,person InheritsFrom master control,ai InheritsFrom master control,yes,CreatedBy → InheritsFrom
ai CreatedBy person,person InheritsFrom food store,ai InheritsFrom food store,no,CreatedBy → InheritsFrom
vinyl CreatedBy human,human InheritsFrom master control,vinyl InheritsFrom master control,yes,CreatedBy → InheritsFrom
reality CreatedBy god,god InheritsFrom pastor,reality InheritsFrom pastor,no,CreatedBy → InheritsFrom
dam CreatedBy human,human InheritsFrom master control,dam InheritsFrom master control,yes,CreatedBy → InheritsFrom
satan CreatedBy god,god InheritsFrom pastor,satan InheritsFrom pastor,no,CreatedBy → InheritsFrom
url CreatedBy person,person InheritsFrom steak,url InheritsFrom steak,no,CreatedBy → InheritsFrom
url CreatedBy person,person InheritsFrom apple,url InheritsFrom apple,no,CreatedBy → InheritsFrom
url CreatedBy person,person InheritsFrom doll,url InheritsFrom doll,no,CreatedBy → InheritsFrom
url CreatedBy person,person InheritsFrom master control,url InheritsFrom master control,no,CreatedBy → InheritsFrom
url CreatedBy person,person InheritsFrom food store,url InheritsFrom food store,no,CreatedBy → InheritsFrom
artifact CreatedBy person,person InheritsFrom steak,artifact InheritsFrom steak,no,CreatedBy → InheritsFrom
artifact CreatedBy person,person InheritsFrom apple,artifact InheritsFrom apple,no,CreatedBy → InheritsFrom
artifact CreatedBy person,person InheritsFrom doll,artifact InheritsFrom doll,no,CreatedBy → InheritsFrom
artifact CreatedBy person,person InheritsFrom master control,artifact InheritsFrom master control,no,CreatedBy → InheritsFrom
artifact CreatedBy person,person InheritsFrom food store,artifact InheritsFrom food store,no,CreatedBy → InheritsFrom
bible say everything CreatedBy god,god InheritsFrom pastor,bible say everything InheritsFrom pastor,no,CreatedBy → InheritsFrom
similarity between stair cord both CreatedBy human,human InheritsFrom master control,similarity between stair cord both InheritsFrom master control,no,CreatedBy → InheritsFrom
tissue holder need CreatedBy person,person InheritsFrom steak,tissue holder need InheritsFrom steak,no,CreatedBy → InheritsFrom
tissue holder need CreatedBy person,person InheritsFrom apple,tissue holder need InheritsFrom apple,no,CreatedBy → InheritsFrom
tissue holder need CreatedBy person,person InheritsFrom doll,tissue holder need InheritsFrom doll,no,CreatedBy → InheritsFrom
tissue holder need CreatedBy person,person InheritsFrom master control,tissue holder need InheritsFrom master control,no,CreatedBy → InheritsFrom
tissue holder need CreatedBy person,person InheritsFrom food store,tissue holder need InheritsFrom food store,no,CreatedBy → InheritsFrom
satan supposedly powerful supernatural CreatedBy god,god InheritsFrom pastor,satan supposedly powerful supernatural InheritsFrom pastor,no,CreatedBy → InheritsFrom
system abstract think CreatedBy person,person InheritsFrom steak,system abstract think InheritsFrom steak,no,CreatedBy → InheritsFrom
system abstract think CreatedBy person,person InheritsFrom apple,system abstract think InheritsFrom apple,no,CreatedBy → InheritsFrom
system abstract think CreatedBy person,person InheritsFrom doll,system abstract think InheritsFrom doll,yes,CreatedBy → InheritsFrom
system abstract think CreatedBy person,person InheritsFrom master control,system abstract think InheritsFrom master control,yes,CreatedBy → InheritsFrom
system abstract think CreatedBy person,person InheritsFrom food store,system abstract think InheritsFrom food store,no,CreatedBy → InheritsFrom
ideology CreatedBy person,person InheritsFrom steak,ideology InheritsFrom steak,no,CreatedBy → InheritsFrom
ideology CreatedBy person,person InheritsFrom apple,ideology InheritsFrom apple,no,CreatedBy → InheritsFrom
ideology CreatedBy person,person InheritsFrom doll,ideology InheritsFrom doll,yes,CreatedBy → InheritsFrom
ideology CreatedBy person,person InheritsFrom master control,ideology InheritsFrom master control,yes,CreatedBy → InheritsFrom
ideology CreatedBy person,person InheritsFrom food store,ideology InheritsFrom food store,no,CreatedBy → InheritsFrom
paper airplane CreatedBy human,human InheritsFrom master control,paper airplane InheritsFrom master control,no,CreatedBy → InheritsFrom
jnosanov CreatedBy god,god InheritsFrom pastor,jnosanov InheritsFrom pastor,yes,CreatedBy → InheritsFrom
osx CreatedBy apple,apple InheritsFrom person,osx InheritsFrom person,no,CreatedBy → InheritsFrom
fuck DefinedAs sex,sex MadeOf poopy,fuck MadeOf poopy,yes,DefinedAs → MadeOf
fuck DefinedAs sex,sex MadeOf hormone,fuck MadeOf hormone,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf many recyclable material,wagon MadeOf many recyclable material,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf metal,wagon MadeOf metal,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf mainly metal other material,wagon MadeOf mainly metal other material,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf industry,wagon MadeOf industry,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf iron,wagon MadeOf iron,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf aluminium,wagon MadeOf aluminium,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf part,wagon MadeOf part,yes,DefinedAs → MadeOf
wagon DefinedAs car,car MadeOf many,wagon MadeOf many,yes,DefinedAs → MadeOf
weasel DefinedAs person,person MadeOf plastic,weasel MadeOf plastic,yes,DefinedAs → MadeOf
weasel DefinedAs person,person MadeOf live cell,weasel MadeOf live cell,yes,DefinedAs → MadeOf
weasel DefinedAs person,person MadeOf meat,weasel MadeOf meat,yes,DefinedAs → MadeOf
weasel DefinedAs person,person MadeOf metal,weasel MadeOf metal,yes,DefinedAs → MadeOf
it DefinedAs statue liberty,statue liberty MadeOf copper,it MadeOf copper,yes,DefinedAs → MadeOf
it DefinedAs statue liberty,statue liberty MadeOf marble,it MadeOf marble,yes,DefinedAs → MadeOf
movie DefinedAs movie,movie MadeOf celluloid,movie MadeOf celluloid,yes,DefinedAs → MadeOf
movie DefinedAs movie,movie MadeOf many still picture shown quickly,movie MadeOf many still picture shown quickly,yes,DefinedAs → MadeOf
movie DefinedAs movie,movie MadeOf many frame,movie MadeOf many frame,yes,DefinedAs → MadeOf
movie DefinedAs movie,movie MadeOf many photograph flash quickly succession screen darken room give illusion motion,movie MadeOf many photograph flash quickly succession screen darken room give illusion motion,yes,DefinedAs → MadeOf
game DefinedAs animal,animal MadeOf cell molecule atom,game MadeOf cell molecule atom,yes,DefinedAs → MadeOf
learn DefinedAs life,life MadeOf memory,learn MadeOf memory,yes,DefinedAs → MadeOf
typewriter DefinedAs this,this MadeOf metal,typewriter MadeOf metal,yes,DefinedAs → MadeOf
pen DefinedAs book,book MadeOf paper page,pen MadeOf paper page,yes,DefinedAs → MadeOf
pen DefinedAs book,book MadeOf worm dust,pen MadeOf worm dust,yes,DefinedAs → MadeOf
pen DefinedAs book,book MadeOf many sheet contain information many topic person read book gain knowledge nowadays information many book storage computer memory,pen MadeOf many sheet contain information many topic person read book gain knowledge nowadays information many book storage computer memory,no,DefinedAs → MadeOf
pen DefinedAs book,book MadeOf many piece paper put together signature bind,pen MadeOf many piece paper put together signature bind,no,DefinedAs → MadeOf
pen DefinedAs book,book MadeOf stack sheet paper,pen MadeOf stack sheet paper,no,DefinedAs → MadeOf
leaf DefinedAs page book,page book MadeOf paper,leaf MadeOf paper,yes,DefinedAs → MadeOf
text DefinedAs written word,written word MadeOf character,text MadeOf character,yes,DefinedAs → MadeOf
this DefinedAs capitol dome,capitol dome MadeOf iron,this MadeOf iron,yes,DefinedAs → MadeOf
this DefinedAs statue liberty,statue liberty MadeOf copper,this MadeOf copper,yes,DefinedAs → MadeOf
this DefinedAs statue liberty,statue liberty MadeOf marble,this MadeOf marble,yes,DefinedAs → MadeOf
that DefinedAs statue liberty,statue liberty MadeOf copper,that MadeOf copper,yes,DefinedAs → MadeOf
that DefinedAs statue liberty,statue liberty MadeOf marble,that MadeOf marble,no,DefinedAs → MadeOf
mammal DefinedAs dog,dog MadeOf fur,mammal MadeOf fur,yes,DefinedAs → MadeOf
mammal DefinedAs dog,dog MadeOf hair,mammal MadeOf hair,yes,DefinedAs → MadeOf
mammal DefinedAs dog,dog MadeOf flesh bone,mammal MadeOf flesh bone,yes,DefinedAs → MadeOf
mammal DefinedAs dog,dog MadeOf live meat,mammal MadeOf live meat,yes,DefinedAs → MadeOf
god DefinedAs love,love MadeOf share care,god MadeOf share care,yes,DefinedAs → MadeOf
god DefinedAs love,love MadeOf hope,god MadeOf hope,yes,DefinedAs → MadeOf
god DefinedAs love,love MadeOf poopy,god MadeOf poopy,yes,DefinedAs → MadeOf
java DefinedAs coffee,coffee MadeOf water,java MadeOf water,yes,DefinedAs → MadeOf
java DefinedAs coffee,coffee MadeOf coffee bean,java MadeOf coffee bean,yes,DefinedAs → MadeOf
java DefinedAs coffee,coffee MadeOf cofee bean witch contain caffeine natural ingredient,java MadeOf cofee bean witch contain caffeine natural ingredient,yes,DefinedAs → MadeOf
clinton DefinedAs president,president MadeOf substance dumb,clinton MadeOf substance dumb,yes,DefinedAs → MadeOf
corn DefinedAs this,this MadeOf metal,corn MadeOf metal,no,DefinedAs → MadeOf
energy DefinedAs everything,everything MadeOf molecule,energy MadeOf molecule,no,DefinedAs → MadeOf
energy DefinedAs everything,everything MadeOf something,energy MadeOf something,no,DefinedAs → MadeOf
energy DefinedAs everything,everything MadeOf mind stuff,energy MadeOf mind stuff,yes,DefinedAs → MadeOf
energy DefinedAs everything,everything MadeOf matter,energy MadeOf matter,no,DefinedAs → MadeOf
fear DefinedAs key,key MadeOf metal,fear MadeOf metal,no,DefinedAs → MadeOf
fear DefinedAs key,key MadeOf brass steel,fear MadeOf brass steel,yes,DefinedAs → MadeOf
religion DefinedAs unite divide mass,unite divide mass MadeOf scheme,religion MadeOf scheme,yes,DefinedAs → MadeOf
carl sagan DefinedAs man,man MadeOf steel,carl sagan MadeOf steel,yes,DefinedAs → MadeOf
carl sagan DefinedAs man,man MadeOf matter,carl sagan MadeOf matter,yes,DefinedAs → MadeOf
carl sagan DefinedAs man,man MadeOf emotion,carl sagan MadeOf emotion,yes,DefinedAs → MadeOf
gas DefinedAs gasoline,gasoline MadeOf crude oil,gas MadeOf crude oil,yes,DefinedAs → MadeOf
not know DefinedAs use,use MadeOf hoof,not know MadeOf hoof,yes,DefinedAs → MadeOf
movie ticket DefinedAs movie ticket,movie ticket MadeOf paper,movie ticket MadeOf paper,yes,DefinedAs → MadeOf
iron DefinedAs golf club,golf club MadeOf metal,iron MadeOf metal,yes,DefinedAs → MadeOf
sol DefinedAs sun,sun MadeOf atom,sol MadeOf atom,yes,DefinedAs → MadeOf
sol DefinedAs sun,sun MadeOf athom,sol MadeOf athom,yes,DefinedAs → MadeOf
sheet DefinedAs linen,linen MadeOf cotton,sheet MadeOf cotton,yes,DefinedAs → MadeOf
picnic DefinedAs this,this MadeOf metal,picnic MadeOf metal,no,DefinedAs → MadeOf
cream cheese DefinedAs word,word MadeOf letter,cream cheese MadeOf letter,yes,DefinedAs → MadeOf
cream cheese DefinedAs word,word MadeOf letter alphabet,cream cheese MadeOf letter alphabet,yes,DefinedAs → MadeOf
consumer DefinedAs person,person MadeOf plastic,consumer MadeOf plastic,yes,DefinedAs → MadeOf
consumer DefinedAs person,person MadeOf live cell,consumer MadeOf live cell,yes,DefinedAs → MadeOf
consumer DefinedAs person,person MadeOf meat,consumer MadeOf meat,yes,DefinedAs → MadeOf
consumer DefinedAs person,person MadeOf metal,consumer MadeOf metal,yes,DefinedAs → MadeOf
soft drink DefinedAs soda,soda MadeOf aluminum,soft drink MadeOf aluminum,yes,DefinedAs → MadeOf
summer basket DefinedAs green,green MadeOf blue yello,summer basket MadeOf blue yello,yes,DefinedAs → MadeOf
duckie DefinedAs rubber duck,rubber duck MadeOf plastic,duckie MadeOf plastic,yes,DefinedAs → MadeOf
find outside DefinedAs sky,sky MadeOf gas,find outside MadeOf gas,no,DefinedAs → MadeOf
find outside DefinedAs sun,sun MadeOf atom,find outside MadeOf atom,yes,DefinedAs → MadeOf
find outside DefinedAs sun,sun MadeOf athom,find outside MadeOf athom,no,DefinedAs → MadeOf
pierce brosnan DefinedAs man,man MadeOf steel,pierce brosnan MadeOf steel,yes,DefinedAs → MadeOf
pierce brosnan DefinedAs man,man MadeOf matter,pierce brosnan MadeOf matter,yes,DefinedAs → MadeOf
pierce brosnan DefinedAs man,man MadeOf emotion,pierce brosnan MadeOf emotion,yes,DefinedAs → MadeOf
client DefinedAs person,person MadeOf plastic,client MadeOf plastic,yes,DefinedAs → MadeOf
client DefinedAs person,person MadeOf live cell,client MadeOf live cell,yes,DefinedAs → MadeOf
client DefinedAs person,person MadeOf meat,client MadeOf meat,yes,DefinedAs → MadeOf
client DefinedAs person,person MadeOf metal,client MadeOf metal,yes,DefinedAs → MadeOf
form art DefinedAs music,music MadeOf organize sound,form art MadeOf organize sound,yes,DefinedAs → MadeOf
picture frame DefinedAs this,this MadeOf metal,picture frame MadeOf metal,yes,DefinedAs → MadeOf
thomas jefferson DefinedAs president,president MadeOf substance dumb,thomas jefferson MadeOf substance dumb,yes,DefinedAs → MadeOf
mutt DefinedAs dog,dog MadeOf fur,mutt MadeOf fur,yes,DefinedAs → MadeOf
mutt DefinedAs dog,dog MadeOf hair,mutt MadeOf hair,yes,DefinedAs → MadeOf
