premise_1,premise_2,inferred,support_count
north korea InstanceOf country,country AtLocation forest,north korea AtLocation forest,1
north korea InstanceOf country,country AtLocation great outdoors,north korea AtLocation great outdoors,1
north korea InstanceOf country,country AtLocation wa4,north korea AtLocation wa4,1
north korea InstanceOf country,country AtLocation war,north korea AtLocation war,1
north korea InstanceOf country,country AtLocation africa,north korea AtLocation africa,1
north korea InstanceOf country,country AtLocation rural,north korea AtLocation rural,1
north korea InstanceOf country,country AtLocation rural area,north korea AtLocation rural area,1
north korea InstanceOf country,country AtLocation midwest,north korea AtLocation midwest,1
final fantasy InstanceOf video game,video game AtLocation bar,final fantasy AtLocation bar,1
final fantasy InstanceOf video game,video game AtLocation toy store,final fantasy AtLocation toy store,1
final fantasy InstanceOf video game,video game AtLocation friend house,final fantasy AtLocation friend house,1
final fantasy InstanceOf video game,video game AtLocation party,final fantasy AtLocation party,1
final fantasy InstanceOf video game,video game AtLocation air,final fantasy AtLocation air,1
eunha sim InstanceOf actress,actress AtLocation movie,eunha sim AtLocation movie,1
pele InstanceOf soccer player,soccer player AtLocation soccer field,pele AtLocation soccer field,1
pele InstanceOf soccer player,soccer player AtLocation soccer game,pele AtLocation soccer game,1
clementine orange InstanceOf fruit,fruit AtLocation market,clementine orange AtLocation market,1
clementine orange InstanceOf fruit,fruit AtLocation fruit grove,clementine orange AtLocation fruit grove,1
clementine orange InstanceOf fruit,fruit AtLocation container,clementine orange AtLocation container,1
clementine orange InstanceOf fruit,fruit AtLocation pantry,clementine orange AtLocation pantry,1
clementine orange InstanceOf fruit,fruit AtLocation produce section,clementine orange AtLocation produce section,1
clementine orange InstanceOf fruit,fruit AtLocation fruit cocktail,clementine orange AtLocation fruit cocktail,1
clementine orange InstanceOf fruit,fruit AtLocation supermarket,clementine orange AtLocation supermarket,1
clementine orange InstanceOf fruit,fruit AtLocation refridgerator,clementine orange AtLocation refridgerator,1
clementine orange InstanceOf fruit,fruit AtLocation plate,clementine orange AtLocation plate,1
clementine orange InstanceOf fruit,fruit AtLocation fridge,clementine orange AtLocation fridge,1
clementine orange InstanceOf fruit,fruit AtLocation mouth,clementine orange AtLocation mouth,1
clementine orange InstanceOf fruit,fruit AtLocation refriderator,clementine orange AtLocation refriderator,1
clementine orange InstanceOf fruit,fruit AtLocation san francisco,clementine orange AtLocation san francisco,1
clementine orange InstanceOf fruit,fruit AtLocation refrigerator,clementine orange AtLocation refrigerator,1
clementine orange InstanceOf fruit,fruit AtLocation jar,clementine orange AtLocation jar,1
clementine orange InstanceOf fruit,fruit AtLocation basket,clementine orange AtLocation basket,1
clementine orange InstanceOf fruit,fruit AtLocation fruit bowl,clementine orange AtLocation fruit bowl,1
clementine orange InstanceOf fruit,fruit AtLocation kitchen,clementine orange AtLocation kitchen,1
clementine orange InstanceOf fruit,fruit AtLocation shop,clementine orange AtLocation shop,1
clementine orange InstanceOf fruit,fruit AtLocation pizza,clementine orange AtLocation pizza,1
clementine orange InstanceOf fruit,fruit AtLocation freezer,clementine orange AtLocation freezer,1
clementine orange InstanceOf fruit,fruit AtLocation store,clementine orange AtLocation store,1
clementine orange InstanceOf fruit,fruit AtLocation dinner,clementine orange AtLocation dinner,1
clementine orange InstanceOf fruit,fruit AtLocation home,clementine orange AtLocation home,1
clementine orange InstanceOf fruit,fruit AtLocation field,clementine orange AtLocation field,1
clementine orange InstanceOf fruit,fruit AtLocation apartment,clementine orange AtLocation apartment,1
clementine orange InstanceOf fruit,fruit AtLocation garden,clementine orange AtLocation garden,1
clementine orange InstanceOf fruit,fruit AtLocation resturant,clementine orange AtLocation resturant,1
clementine orange InstanceOf fruit,fruit AtLocation house,clementine orange AtLocation house,1
clementine orange InstanceOf fruit,fruit AtLocation farmer market,clementine orange AtLocation farmer market,1
clementine orange InstanceOf fruit,fruit AtLocation forest,clementine orange AtLocation forest,1
clementine orange InstanceOf fruit,fruit AtLocation mall,clementine orange AtLocation mall,1
clementine orange InstanceOf fruit,fruit AtLocation cupboard,clementine orange AtLocation cupboard,1
clementine orange InstanceOf fruit,fruit AtLocation table,clementine orange AtLocation table,1
clementine orange InstanceOf fruit,fruit AtLocation park,clementine orange AtLocation park,1
clementine orange InstanceOf fruit,fruit AtLocation restaurant,clementine orange AtLocation restaurant,1
clementine orange InstanceOf fruit,fruit AtLocation oven,clementine orange AtLocation oven,1
clementine orange InstanceOf fruit,fruit AtLocation bowl,clementine orange AtLocation bowl,1
clementine orange InstanceOf fruit,fruit AtLocation hang tree,clementine orange AtLocation hang tree,1
clementine orange InstanceOf fruit,fruit AtLocation grocery store,clementine orange AtLocation grocery store,1
clementine orange InstanceOf fruit,fruit AtLocation orchard,clementine orange AtLocation orchard,1
hwang woosuk InstanceOf scientist,scientist AtLocation laboratory,hwang woosuk AtLocation laboratory,1
hwang woosuk InstanceOf scientist,scientist AtLocation chemistry lab,hwang woosuk AtLocation chemistry lab,1
hwang woosuk InstanceOf scientist,scientist AtLocation space shuttle,hwang woosuk AtLocation space shuttle,1
hwang woosuk InstanceOf scientist,scientist AtLocation oklahoma,hwang woosuk AtLocation oklahoma,1
hwang woosuk InstanceOf scientist,scientist AtLocation mit medium lab,hwang woosuk AtLocation mit medium lab,1
hwang woosuk InstanceOf fraud,fraud AtLocation business deal,hwang woosuk AtLocation business deal,1
ferrarri InstanceOf car,car AtLocation park garage,ferrarri AtLocation park garage,1
ferrarri InstanceOf car,car AtLocation freeway,ferrarri AtLocation freeway,1
ferrarri InstanceOf car,car AtLocation car show,ferrarri AtLocation car show,1
ferrarri InstanceOf car,car AtLocation land,ferrarri AtLocation land,1
ferrarri InstanceOf car,car AtLocation repair shop,ferrarri AtLocation repair shop,1
ferrarri InstanceOf car,car AtLocation show,ferrarri AtLocation show,1
ferrarri InstanceOf car,car AtLocation car dealership,ferrarri AtLocation car dealership,1
ferrarri InstanceOf car,car AtLocation motel,ferrarri AtLocation motel,1
ferrarri InstanceOf car,car AtLocation car park,ferrarri AtLocation car park,1
ferrarri InstanceOf car,car AtLocation highway,ferrarri AtLocation highway,1
ferrarri InstanceOf car,car AtLocation race track,ferrarri AtLocation race track,1
ferrarri InstanceOf car,car AtLocation park zone,ferrarri AtLocation park zone,1
ferrarri InstanceOf car,car AtLocation car supermarket,ferrarri AtLocation car supermarket,1
ferrarri InstanceOf car,car AtLocation scrapyard,ferrarri AtLocation scrapyard,1
ferrarri InstanceOf car,car AtLocation packinglot,ferrarri AtLocation packinglot,1
ferrarri InstanceOf car,car AtLocation town,ferrarri AtLocation town,1
ferrarri InstanceOf car,car AtLocation need repair,ferrarri AtLocation need repair,1
ferrarri InstanceOf car,car AtLocation street corner,ferrarri AtLocation street corner,1
ferrarri InstanceOf car,car AtLocation parade,ferrarri AtLocation parade,1
ferrarri InstanceOf car,car AtLocation bridge,ferrarri AtLocation bridge,1
ferrarri InstanceOf car,car AtLocation corner two street,ferrarri AtLocation corner two street,1
ferrarri InstanceOf car,car AtLocation junkyard,ferrarri AtLocation junkyard,1
ferrarri InstanceOf car,car AtLocation gas station,ferrarri AtLocation gas station,1
ferrarri InstanceOf car,car AtLocation junk yard,ferrarri AtLocation junk yard,1
ferrarri InstanceOf car,car AtLocation bottom lake,ferrarri AtLocation bottom lake,1
ferrarri InstanceOf car,car AtLocation city,ferrarri AtLocation city,1
ferrarri InstanceOf car,car AtLocation neighbor house,ferrarri AtLocation neighbor house,1
ferrarri InstanceOf car,car AtLocation scrap heap,ferrarri AtLocation scrap heap,1
ferrarri InstanceOf car,car AtLocation traffic,ferrarri AtLocation traffic,1
ferrarri InstanceOf car,car AtLocation smelter,ferrarri AtLocation smelter,1
ferrarri InstanceOf car,car AtLocation interstate,ferrarri AtLocation interstate,1
ferrarri InstanceOf car,car AtLocation rest area,ferrarri AtLocation rest area,1
ferrarri InstanceOf car,car AtLocation any large city,ferrarri AtLocation any large city,1
ferrarri InstanceOf car,car AtLocation new york,ferrarri AtLocation new york,1
ferrarri InstanceOf car,car AtLocation london,ferrarri AtLocation london,1
ferrarri InstanceOf car,car AtLocation earth,ferrarri AtLocation earth,1
ferrarri InstanceOf car,car AtLocation outer space,ferrarri AtLocation outer space,1
ferrarri InstanceOf car,car AtLocation outerspace,ferrarri AtLocation outerspace,1
ferrarri InstanceOf car,car AtLocation train station,ferrarri AtLocation train station,1
ferrarri InstanceOf car,car AtLocation subway,ferrarri AtLocation subway,1
ferrarri InstanceOf car,car AtLocation hardware store,ferrarri AtLocation hardware store,1
ferrarri InstanceOf car,car AtLocation winery,ferrarri AtLocation winery,1
ferrarri InstanceOf car,car AtLocation park,ferrarri AtLocation park,1
ferrarri InstanceOf car,car AtLocation ground,ferrarri AtLocation ground,1
ferrarri InstanceOf car,car AtLocation kitchen,ferrarri AtLocation kitchen,1
ferrarri InstanceOf car,car AtLocation airport,ferrarri AtLocation airport,1
ferrarri InstanceOf car,car AtLocation competitive activity,ferrarri AtLocation competitive activity,1
ferrarri InstanceOf car,car AtLocation country,ferrarri AtLocation country,1
ferrarri InstanceOf car,car AtLocation build,ferrarri AtLocation build,1
ferrarri InstanceOf car,car AtLocation countryside,ferrarri AtLocation countryside,1
ferrarri InstanceOf car,car AtLocation store,ferrarri AtLocation store,1
ferrarri InstanceOf car,car AtLocation iraq,ferrarri AtLocation iraq,1
ferrarri InstanceOf car,car AtLocation sport event,ferrarri AtLocation sport event,1
ferrarri InstanceOf car,car AtLocation space,ferrarri AtLocation space,1
ferrarri InstanceOf car,car AtLocation shower,ferrarri AtLocation shower,1
ferrarri InstanceOf car,car AtLocation cupboard,ferrarri AtLocation cupboard,1
ferrarri InstanceOf car,car AtLocation pocket,ferrarri AtLocation pocket,1
ferrarri InstanceOf car,car AtLocation party,ferrarri AtLocation party,1
ferrarri InstanceOf car,car AtLocation stadium,ferrarri AtLocation stadium,1
ferrarri InstanceOf car,car AtLocation dinner,ferrarri AtLocation dinner,1
ferrarri InstanceOf car,car AtLocation desk,ferrarri AtLocation desk,1
ferrarri InstanceOf car,car AtLocation house,ferrarri AtLocation house,1
ferrarri InstanceOf car,car AtLocation cabinet,ferrarri AtLocation cabinet,1
ferrarri InstanceOf car,car AtLocation outside,ferrarri AtLocation outside,1
ferrarri InstanceOf car,car AtLocation museum,ferrarri AtLocation museum,1
ferrarri InstanceOf car,car AtLocation street,ferrarri AtLocation street,1
ferrarri InstanceOf car,car AtLocation new jersey,ferrarri AtLocation new jersey,1
ferrarri InstanceOf car,car AtLocation drive-in movie,ferrarri AtLocation drive-in movie,1
ferrarri InstanceOf car,car AtLocation street city,ferrarri AtLocation street city,1
ferrarri InstanceOf car,car AtLocation eiffel tower,ferrarri AtLocation eiffel tower,1
ferrarri InstanceOf car,car AtLocation phoenix,ferrarri AtLocation phoenix,1
asimo InstanceOf robot,robot AtLocation science fiction movie,asimo AtLocation science fiction movie,1
asimo InstanceOf robot,robot AtLocation space shuttle,asimo AtLocation space shuttle,1
asimo InstanceOf robot,robot AtLocation movie star war,asimo AtLocation movie star war,1
asimo InstanceOf robot,robot AtLocation science fiction,asimo AtLocation science fiction,1
asimo InstanceOf robot,robot AtLocation factory,asimo AtLocation factory,1
asimo InstanceOf robot,robot AtLocation tv show,asimo AtLocation tv show,1
asimo InstanceOf robot,robot AtLocation laboratory,asimo AtLocation laboratory,1
asimo InstanceOf robot,robot AtLocation computer game,asimo AtLocation computer game,1
asimo InstanceOf robot,robot AtLocation manufacture plant,asimo AtLocation manufacture plant,1
asimo InstanceOf robot,robot AtLocation mar,asimo AtLocation mar,1
asimo InstanceOf robot,robot AtLocation city,asimo AtLocation city,1
asimo InstanceOf robot,robot AtLocation town,asimo AtLocation town,1
asimo InstanceOf robot,robot AtLocation garage,asimo AtLocation garage,1
bump chicken InstanceOf rock band,rock band AtLocation concert,bump chicken AtLocation concert,1
walkie talkie InstanceOf toy,toy AtLocation child bedroom,walkie talkie AtLocation child bedroom,1
walkie talkie InstanceOf toy,toy AtLocation shop,walkie talkie AtLocation shop,1
walkie talkie InstanceOf toy,toy AtLocation bed,walkie talkie AtLocation bed,1
walkie talkie InstanceOf toy,toy AtLocation basement,walkie talkie AtLocation basement,1
walkie talkie InstanceOf toy,toy AtLocation floor,walkie talkie AtLocation floor,1
walkie talkie InstanceOf toy,toy AtLocation closet,walkie talkie AtLocation closet,1
walkie talkie InstanceOf toy,toy AtLocation corner,walkie talkie AtLocation corner,1
walkie talkie InstanceOf toy,toy AtLocation back sofa,walkie talkie AtLocation back sofa,1
walkie talkie InstanceOf toy,toy AtLocation toy box,walkie talkie AtLocation toy box,1
walkie talkie InstanceOf toy,toy AtLocation toy chest,walkie talkie AtLocation toy chest,1
walkie talkie InstanceOf toy,toy AtLocation store,walkie talkie AtLocation store,1
walkie talkie InstanceOf toy,toy AtLocation party,walkie talkie AtLocation party,1
walkie talkie InstanceOf toy,toy AtLocation table,walkie talkie AtLocation table,1
walkie talkie InstanceOf toy,toy AtLocation drawer,walkie talkie AtLocation drawer,1
walkie talkie InstanceOf toy,toy AtLocation shelf,walkie talkie AtLocation shelf,1
walkie talkie InstanceOf toy,toy AtLocation kindergarden,walkie talkie AtLocation kindergarden,1
walkie talkie InstanceOf toy,toy AtLocation toydroor,walkie talkie AtLocation toydroor,1
walkie talkie InstanceOf toy,toy AtLocation rug,walkie talkie AtLocation rug,1
walkie talkie InstanceOf toy,toy AtLocation children's room,walkie talkie AtLocation children's room,1
walkie talkie InstanceOf toy,toy AtLocation child room,walkie talkie AtLocation child room,1
walkie talkie InstanceOf toy,toy AtLocation toy store,walkie talkie AtLocation toy store,1
walkie talkie InstanceOf toy,toy AtLocation ball doll,walkie talkie AtLocation ball doll,1
walkie talkie InstanceOf toy,toy AtLocation chest,walkie talkie AtLocation chest,1
walkie talkie InstanceOf toy,toy AtLocation christmas stocking,walkie talkie AtLocation christmas stocking,1
